fechaEmision,total,idMedicion,pagado,
2021/04/25,40,359,1,179
2021/04/25,20,360,1,180
2021/04/25,28,361,1,181
2021/05/31,24,362,1,1
2021/05/31,36,363,0,2
2021/05/31,72,364,0,3
2021/05/31,32,365,1,4
2021/05/31,44,366,0,5
2021/05/31,40,367,0,6
2021/05/31,20,368,1,7
2021/05/31,36,369,0,8
2021/05/31,96,370,0,9
2021/05/31,44,371,0,10
2021/05/31,32,372,1,11
2021/05/31,32,373,0,12
2021/05/31,36,374,1,13
2021/05/31,24,375,1,14
2021/05/31,20,376,1,15
2021/05/31,20,377,1,16
2021/05/31,60,378,1,17
2021/05/31,32,379,1,18
2021/05/31,32,380,1,19
2021/05/31,28,381,1,20
2021/05/31,24,382,0,21
2021/05/31,20,383,0,22
2021/05/31,20,384,0,23
2021/05/31,32,385,0,24
2021/05/31,24,386,1,25
2021/05/31,36,387,1,26
2021/05/31,24,388,0,27
2021/05/31,24,389,1,28
2021/05/31,40,390,0,29
2021/05/31,36,391,0,30
2021/05/31,40,392,0,31
2021/05/31,20,393,0,32
2021/05/31,24,394,1,33
2021/05/31,20,395,0,34
2021/05/31,20,396,0,35
2021/05/31,40,397,0,36
2021/05/31,20,398,1,37
2021/05/31,40,399,0,38
2021/05/31,64,400,1,39
2021/05/31,20,401,1,40
2021/05/31,20,402,0,41
2021/05/31,24,403,0,42
2021/05/31,20,404,0,43
2021/05/31,40,405,0,44
2021/05/31,40,406,1,45
2021/05/31,124,407,1,46
2021/05/31,48,408,1,47
2021/05/31,20,409,1,48
2021/05/31,20,410,0,49
2021/05/31,132,411,1,50
2021/05/31,20,412,1,51
2021/05/31,48,413,0,52
2021/05/31,20,414,0,53
2021/05/31,24,415,1,54
2021/05/31,124,416,1,55
2021/05/31,32,417,1,56
2021/05/31,40,418,1,57
2021/05/31,132,419,0,58
2021/05/31,20,420,0,59
2021/05/31,32,421,0,60
2021/05/31,20,422,1,61
2021/05/31,24,423,0,62
2021/05/31,20,424,1,63
2021/05/31,20,425,0,64
2021/05/31,24,426,1,65
2021/05/31,20,427,0,66
2021/05/31,24,428,1,67
2021/05/31,20,429,0,68
2021/05/31,20,430,0,69
2021/05/31,100,431,0,70
2021/05/31,24,432,1,71
2021/05/31,20,433,0,72
2021/05/31,44,434,0,73
2021/05/31,32,435,0,74
2021/05/31,36,436,1,75
